Group,Tool,Variant,Baseline_Score,Defense_Score,Absolute_Reduction,Percent_Reduction
human,ssdeep,_clang_O2,6.32,13.02,-6.699999999999999,-106.01265822784809
human,ssdeep,_O3,6.32,7.54,-1.2199999999999998,-19.303797468354425
human,ssdeep,_cff,6.32,0.88,5.44,86.07594936708861
human,ssdeep,_elit,6.32,0.66,5.66,89.55696202531645
human,ssdeep,_stripped,6.32,3.1,3.22,50.9493670886076
human,sdhash,_clang_O2,28.541666666666668,29.46,-0.918333333333333,-3.217518248175181
human,sdhash,_O3,28.541666666666668,26.395833333333332,2.1458333333333357,7.5182481751824906
human,sdhash,_cff,28.541666666666668,23.416666666666668,5.125,17.956204379562042
human,sdhash,_elit,28.541666666666668,21.354166666666668,7.1875,25.182481751824813
human,sdhash,_stripped,28.541666666666668,32.22,-3.678333333333331,-12.887591240875903
human,radiff2,_clang_O2,93.09,93.07199999999999,0.018000000000014893,0.019336126329374682
human,radiff2,_O3,93.09,92.80000000000001,0.28999999999999204,0.31152647975077025
human,radiff2,_cff,93.09,90.05999999999999,3.0300000000000153,3.254914598775395
human,radiff2,_elit,93.09,83.13600000000001,9.953999999999994,10.692877860135345
human,radiff2,_stripped,93.09,93.36399999999999,-0.2739999999999867,-0.2943388119024457
gemini,ssdeep,_clang_O2,22.08,35.9,-13.82,-62.59057971014494
gemini,ssdeep,_O3,22.08,29.8,-7.720000000000002,-34.96376811594204
gemini,ssdeep,_cff,22.08,1.0,21.08,95.47101449275362
gemini,ssdeep,_elit,22.08,1.52,20.56,93.11594202898551
gemini,ssdeep,_stripped,22.08,23.46,-1.3800000000000026,-6.250000000000012
gemini,sdhash,_clang_O2,38.35,41.06,-2.710000000000001,-7.066492829204696
gemini,sdhash,_O3,38.35,36.66,1.6900000000000048,4.406779661016961
gemini,sdhash,_cff,38.35,29.8,8.55,22.29465449804433
gemini,sdhash,_elit,38.35,29.68,8.670000000000002,22.607561929595832
gemini,sdhash,_stripped,38.35,41.8,-3.4499999999999957,-8.996088657105595
gemini,radiff2,_clang_O2,95.66199999999998,95.53199999999998,0.12999999999999545,0.13589513077292495
gemini,radiff2,_O3,95.66199999999998,95.58,0.08199999999997942,0.08571846710290339
gemini,radiff2,_cff,95.66199999999998,92.876,2.785999999999973,2.9123371871798347
gemini,radiff2,_elit,95.66199999999998,84.542,11.119999999999976,11.624260416884425
gemini,radiff2,_stripped,95.66199999999998,95.74599999999998,-0.08400000000000318,-0.08780916142251176
gpt5,ssdeep,_clang_O2,11.36,11.2,0.16000000000000014,1.4084507042253533
gpt5,ssdeep,_O3,11.36,17.34,-5.98,-52.640845070422536
gpt5,ssdeep,_cff,11.36,2.02,9.34,82.21830985915494
gpt5,ssdeep,_elit,11.36,0.0,11.36,100.0
gpt5,ssdeep,_stripped,11.36,12.72,-1.3600000000000012,-11.971830985915505
gpt5,sdhash,_clang_O2,27.04,31.98,-4.940000000000001,-18.269230769230774
gpt5,sdhash,_O3,27.04,25.34,1.6999999999999993,6.286982248520707
gpt5,sdhash,_cff,27.04,21.78,5.259999999999998,19.452662721893486
gpt5,sdhash,_elit,27.04,23.5,3.539999999999999,13.091715976331358
gpt5,sdhash,_stripped,27.04,31.64,-4.600000000000001,-17.011834319526635
gpt5,radiff2,_clang_O2,94.259,94.616,-0.3569999999999993,-0.37874367434409373
gpt5,radiff2,_O3,94.259,93.96199999999999,0.29700000000001125,0.3150892752946788
gpt5,radiff2,_cff,94.259,91.596,2.6629999999999967,2.82519441114376
gpt5,radiff2,_elit,94.259,82.18,12.078999999999994,12.8146914353006
gpt5,radiff2,_stripped,94.259,94.15799999999997,0.10100000000002751,0.10715157173323238
