Group,Variant,Tool,count,mean,median,std,min,max
gemini,O0,radiff2,50,95.69,95.8,1.704,91.5,98.8
gemini,O0,sdhash,50,40.76,25.5,25.689,11.0,82.0
gemini,O0,ssdeep,50,11.54,0.0,22.414,0.0,68.0
gemini,_O3,radiff2,50,95.58,95.45,1.667,91.5,99.0
gemini,_O3,sdhash,50,36.66,26.0,22.311,8.0,79.0
gemini,_O3,ssdeep,50,29.8,43.5,23.919,0.0,57.0
gemini,_base,radiff2,50,95.634,95.5,1.609,91.9,99.1
gemini,_base,sdhash,50,35.94,26.0,21.673,9.0,81.0
gemini,_base,ssdeep,50,32.62,44.0,24.328,0.0,72.0
gemini,_cff,radiff2,50,92.876,92.9,1.881,88.9,98.4
gemini,_cff,sdhash,50,29.8,19.0,17.863,7.0,65.0
gemini,_cff,ssdeep,50,1.0,0.0,7.071,0.0,50.0
gemini,_clang_O2,radiff2,50,95.532,95.4,1.511,92.3,99.0
gemini,_clang_O2,sdhash,50,41.06,29.0,25.114,9.0,79.0
gemini,_clang_O2,ssdeep,50,35.9,49.0,30.573,0.0,74.0
gemini,_elit,radiff2,50,84.542,84.7,5.084,72.4,92.3
gemini,_elit,sdhash,50,29.68,34.0,15.701,5.0,53.0
gemini,_elit,ssdeep,50,1.52,0.0,7.533,0.0,40.0
gemini,_stripped,radiff2,50,95.746,95.6,1.501,92.2,99.0
gemini,_stripped,sdhash,50,41.8,27.5,22.543,16.0,79.0
gemini,_stripped,ssdeep,50,23.46,0.0,25.982,0.0,66.0
gpt5,O0,radiff2,50,94.5,94.65,1.683,91.1,98.9
gpt5,O0,sdhash,50,28.96,21.5,17.814,10.0,82.0
gpt5,O0,ssdeep,50,5.46,0.0,16.741,0.0,68.0
gpt5,_O3,radiff2,50,93.962,93.8,1.76,90.4,98.2
gpt5,_O3,sdhash,50,25.34,18.0,15.638,11.0,73.0
gpt5,_O3,ssdeep,50,17.34,0.0,23.643,0.0,63.0
gpt5,_base,radiff2,50,94.018,93.85,1.745,90.4,98.2
gpt5,_base,sdhash,50,25.12,18.0,15.375,11.0,73.0
gpt5,_base,ssdeep,50,17.26,0.0,23.507,0.0,63.0
gpt5,_cff,radiff2,50,91.596,91.45,2.02,87.5,97.1
gpt5,_cff,sdhash,50,21.78,17.5,13.248,8.0,66.0
gpt5,_cff,ssdeep,50,2.02,0.0,10.038,0.0,55.0
gpt5,_clang_O2,radiff2,50,94.616,94.65,1.872,91.2,98.6
gpt5,_clang_O2,sdhash,50,31.98,25.0,19.036,9.0,81.0
gpt5,_clang_O2,ssdeep,50,11.2,0.0,24.356,0.0,74.0
gpt5,_elit,radiff2,50,82.18,83.1,4.98,71.8,90.8
gpt5,_elit,sdhash,50,23.5,16.0,15.249,6.0,61.0
gpt5,_elit,ssdeep,50,0.0,0.0,0.0,0.0,0.0
gpt5,_stripped,radiff2,50,94.158,94.2,1.733,90.6,98.1
gpt5,_stripped,sdhash,50,31.64,25.0,16.37,14.0,77.0
gpt5,_stripped,ssdeep,50,12.72,0.0,20.78,0.0,54.0
human,O0,radiff2,50,93.018,94.15,3.929,82.9,97.8
human,O0,sdhash,50,29.24,19.0,24.568,6.0,81.0
human,O0,ssdeep,50,4.94,0.0,16.927,0.0,63.0
human,_O3,radiff2,50,92.8,94.1,3.428,83.6,97.4
human,_O3,sdhash,48,26.396,18.0,19.948,5.0,73.0
human,_O3,ssdeep,50,7.54,0.0,18.91,0.0,57.0
human,_base,radiff2,50,93.162,94.7,3.606,83.6,98.3
human,_base,sdhash,46,27.783,19.0,20.398,4.0,82.0
human,_base,ssdeep,50,7.7,0.0,19.366,0.0,65.0
human,_cff,radiff2,50,90.06,92.45,5.754,74.0,96.9
human,_cff,sdhash,48,23.417,16.0,16.933,4.0,65.0
human,_cff,ssdeep,50,0.88,0.0,6.223,0.0,44.0
human,_clang_O2,radiff2,50,93.072,94.0,3.452,85.0,97.9
human,_clang_O2,sdhash,50,29.46,19.5,23.03,4.0,82.0
human,_clang_O2,ssdeep,50,13.02,0.0,26.398,0.0,74.0
human,_elit,radiff2,50,83.136,84.45,5.659,67.8,93.0
human,_elit,sdhash,48,21.354,15.0,13.492,5.0,54.0
human,_elit,ssdeep,50,0.66,0.0,4.667,0.0,33.0
human,_stripped,radiff2,50,93.364,94.55,3.41,84.4,98.1
human,_stripped,sdhash,50,32.22,23.0,19.65,12.0,80.0
human,_stripped,ssdeep,50,3.1,0.0,12.552,0.0,63.0
